Student_ID,Study_Hours,Attendance_Percentage,Quiz_Average,Final_Grade
1,8.116262258099887,51.57145928433671,82.10158230771438,43.57627658037435
2,19.063571821788408,81.82052056318902,54.206998249752445,45.175682634568716
3,14.907884894416696,65.71779905381634,58.08143570473069,53.822644831957405
4,12.374511199743695,75.42853455823514,94.92770942635397,59.22627278686427
5,3.964354168406294,95.37832369630465,80.3214529829795,44.16996173785973
6,3.96389588638785,62.464611457443745,50.45985258083148,36.39516913988484
7,2.1035886311957896,70.51914615178148,55.073577143301605,35.21032011716131
8,17.457346769723767,87.77755692715243,83.1750884554028,62.5308989966372
9,12.421185223120967,61.43990827458112,50.253079192310935,34.5137666371525
10,14.453378978124864,53.84899549143965,58.04040257087493,38.77448880260983
11,1.3911053916202465,64.4875726456884,77.4366894683293,45.65865718575569
12,19.428287191077892,58.06106436270022,84.59475988463467,54.89683812148223
13,16.816410175208013,96.48488261712865,82.59806297513003,54.44996571248193
14,5.034443102887247,90.40601897822086,61.21346547302799,45.8271163973248
15,4.4546743769349115,81.67018782552117,85.6089610673768,49.59088786283857
16,4.484685687215243,93.57302950938589,61.862454374840006,45.157873277285304
17,6.780602616231217,90.18360384495573,66.26998490796339,58.4755888737737
18,10.97037220101252,59.32850294430179,87.32457025590121,50.408979395270684
19,9.206955354200199,94.62794992449889,82.48164495236074,50.51124083306274
20,6.533353663762797,76.96711209578254,92.4611705247089,58.03113598692643
21,12.62520499972521,90.37200775820313,82.88064461501716,67.63665869691934
22,3.6503833523887947,94.80456499617466,78.41543016677358,58.58847819259572
23,6.550748322169145,65.90017374859319,54.683738391404624,31.19862314109693
24,7.960875022580142,55.50259622638384,68.38579015297168,37.92969555850745
25,9.665329700123683,61.39675812709709,63.26011838408627,47.59775057933759
26,15.918343266467259,71.35538943131282,62.19948216895418,42.89545145857309
27,4.793801861008835,90.90073829612466,98.65052773762227,61.00199769525876
28,10.770454329858621,93.03652916281717,69.65488623333802,56.988776617936686
29,12.255876808378806,50.34760652655954,94.60232775885567,43.75267865108566
30,1.8825578416799567,75.53736512887829,81.55693129986315,47.58368528498541
31,12.54335218612733,70.87055015743894,89.74056517708243,36.99433877446198
32,4.239958350058539,61.105390523536514,75.1318546552596,37.4452186869908
33,2.235980266720311,55.99326836668414,78.84519423131795,40.08309012912295
34,19.02882520781333,66.8807585701814,74.6258846909432,43.82460715163847
35,19.347008628416628,97.14548519562595,59.76214938990223,62.97315034668328
36,16.35954961421276,66.16014660103777,86.12260576307526,45.07793866511585
37,6.787661614294043,75.9395310871683,64.03861812204279,42.50828697499603
38,2.8557701661212933,85.15094794475888,51.21579832157269,42.70603483277845
39,14.00042750373098,68.1814801189647,82.27361479535838,57.943065921119896
40,9.362897381052425,98.58910413604804,58.85553397035245,43.79923962844392
41,3.3187264620507975,98.12236474710556,97.02292921764572,65.6868975350205
42,10.408361292114133,62.58911479126821,97.69642885012937,52.300172914362854
